id,nom,editeur,categorie,acces,licence,maturite,surfaces,local,cloud,politique_modeles,terminal,ide,web,computer_use,mcp,acp,skills,sous_agents,memoire,sandbox,orchestration,usage_principal,source_principale,type_source,notes,confiance,verifie_le,definition_categorie,est_harness,remarque_categorie
roo-code,Roo Code,Roo Code,Agentic IDE,Open source,Apache-2.0,Archivé,VS Code,Oui,Non,Multi-modèle,Intégré,Oui,Non,Non,Oui,Inconnu / non documenté,Modes,Oui,Checkpoints,Approbations,Non,Ancien agent IDE à modes spécialisés,https://github.com/RooCodeInc/Roo-Code,Primaire / dépôt,Projet archivé en 2026.,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
sourcegraph-cody,Sourcegraph Cody,Sourcegraph,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · Web,Partiel,Oui,Multi-modèle via Sourcegraph,Non,Oui,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Compréhension de grands codebases,https://sourcegraph.com/cody,Secondaire / index,,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
tabnine-agent,Tabnine Agent,Tabnine,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · CLI entreprise,Partiel,Oui,Modèles Tabnine,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement entreprise,https://docs.tabnine.com/,Primaire / dépôt,,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
trae-agent-solo,TRAE Agent / SOLO,ByteDance,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · Desktop,Partiel,Oui,Multi-modèle,Non,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement multi-agent,https://www.trae.ai/,Secondaire / index,,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
windsurf-cascade,Windsurf Cascade,Cognition / Windsurf,Agentic IDE,Propriétaire,Commerciale,Actif,Devin Desktop · JetBrains,Non,Oui,Multi-modèle,Non,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Codage agentique en IDE,https://docs.windsurf.com/windsurf/cascade/cascade,Primaire / dépôt,,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
base44,Base44,Base44,App-building agent,Propriétaire,Commerciale,Actif,Web,Non,Oui,Propriétaire,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Applications et backends,https://base44.com/,Secondaire / index,,Élevée,2026-08-29,Agent qui génère ou itère une application complète à partir d'une intention.,Oui,Souvent cloud et produit fermé
bolt,Bolt,StackBlitz,App-building agent,Propriétaire,Commerciale,Actif,Web,Non,Oui,Multi-modèle,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Applications dans navigateur,https://bolt.new/,Secondaire / index,,Élevée,2026-08-29,Agent qui génère ou itère une application complète à partir d'une intention.,Oui,Souvent cloud et produit fermé
github-spark,GitHub Spark,GitHub,App-building agent,Propriétaire,Commerciale,Actif,Web · GitHub,Non,Oui,GitHub Copilot,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Applications web,https://github.com/features/spark,Primaire / dépôt,,Élevée,2026-08-29,Agent qui génère ou itère une application complète à partir d'une intention.,Oui,Souvent cloud et produit fermé
lovable,Lovable,Lovable,App-building agent,Propriétaire,Commerciale,Actif,Web,Non,Oui,Multi-modèle,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Applications web full-stack,https://lovable.dev/,Secondaire / index,,Élevée,2026-08-29,Agent qui génère ou itère une application complète à partir d'une intention.,Oui,Souvent cloud et produit fermé
pythagora,Pythagora,Pythagora,App-building agent,Propriétaire,Commerciale,Actif,IDE · Web,Partiel,Oui,Multi-modèle,Non,Oui,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Construction d'applications,https://pythagora.ai/,Secondaire / index,,Élevée,2026-08-29,Agent qui génère ou itère une application complète à partir d'une intention.,Oui,Souvent cloud et produit fermé
replit-agent,Replit Agent,Replit,App-building agent,Propriétaire,Commerciale,Actif,Web · Mobile · Cloud IDE,Partiel,Oui,Modèles Replit,Non,Oui,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Construire et déployer des applications,https://docs.replit.com/features/agent/overview,Primaire / dépôt,,Élevée,2026-08-29,Agent qui génère ou itère une application complète à partir d'une intention.,Oui,Souvent cloud et produit fermé
v0,v0,Vercel,App-building agent,Propriétaire,Commerciale,Actif,Web,Non,Oui,Modèles Vercel,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Applications web et UI,https://v0.dev/,Secondaire / index,,Élevée,2026-08-29,Agent qui génère ou itère une application complète à partir d'une intention.,Oui,Souvent cloud et produit fermé
ralph-harness,Ralph Harness,Communauté,Autonomous loop,Open source,MIT,Actif,Desktop · Web · CLI · Serveur selon produit,Oui,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,Boucle autonome avec limites et CI,https://github.com/bradAGI/awesome-cli-coding-agents,Secondaire / index,,Moyenne,2026-08-29,Boucle autonome qui relance un agent jusqu'à un critère d'arrêt.,Oui,Souvent une convention ou un runner autour d'un harness existant
wreckit,wreckit,Communauté,Autonomous loop,Open source,Voir dépôt,Actif,Desktop · Web · CLI · Serveur selon produit,Oui,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,Ralph loop sur une roadmap,https://github.com/bradAGI/awesome-cli-coding-agents,Secondaire / index,,Moyenne,2026-08-29,Boucle autonome qui relance un agent jusqu'à un critère d'arrêt.,Oui,Souvent une convention ou un runner autour d'un harness existant
codegen,Codegen,Codegen,Cloud coding agent,Propriétaire,Commerciale,Actif,Web · GitHub,Non,Oui,Multi-modèle,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Oui,Agents distants sur dépôts,https://codegen.com/,Secondaire / index,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
codex-cloud-web-app,Codex Cloud / Web / App,OpenAI,Cloud coding agent,Propriétaire,Conditions OpenAI,Actif,Web · Desktop · GitHub,Non,Oui,OpenAI,Non,Oui,Oui,Non,Inconnu / non documenté,Inconnu / non documenté,Oui,Oui,Oui,VM / conteneur géré,Oui,Tâches asynchrones en environnements cloud,https://openai.com/codex/,Secondaire / index,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
devin,Devin,Cognition,Cloud coding agent,Propriétaire,Commerciale,Actif,Web · VM cloud · GitHub,Non,Oui,Modèles Cognition,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Oui,Ingénieur logiciel autonome,https://docs.devin.ai/get-started/devin-intro,Primaire / dépôt,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
firebase-studio-agent,Firebase Studio Agent,Google,Cloud coding agent,Propriétaire,Commerciale,Actif,Web IDE · Cloud,Partiel,Oui,Gemini,Non,Oui,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Oui,Applications Firebase,https://firebase.studio/,Secondaire / index,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
github-copilot-cloud-agent,GitHub Copilot Cloud Agent,GitHub / Microsoft,Cloud coding agent,Propriétaire,Commerciale,Actif,GitHub · IDE · CLI · Mobile,Partiel,Oui,Multi-modèle via Copilot,Oui,Oui,Oui,Non,Oui,Inconnu / non documenté,Oui,Agents personnalisés,Instructions dépôt,VM GitHub,Oui,"Issues, plans, branches et pull requests",https://docs.github.com/copilot/concepts/agents/cloud-agent/about-cloud-agent,Primaire / dépôt,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
jules,Jules,Google,Cloud coding agent,Propriétaire,Commerciale,Actif,Web · CLI · API · GitHub,Partiel,Oui,Gemini,Oui,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Oui,Tâches asynchrones en VM cloud,https://jules.google/,Secondaire / index,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
mentat-cloud,Mentat Cloud,Mentat,Cloud coding agent,Propriétaire,Commerciale,Actif,CLI · Cloud,Partiel,Oui,Non documenté,Oui,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Oui,Pilotage d'agents distants,https://mentat.ai/,Secondaire / index,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
sweep-ai,Sweep AI,Sweep,Cloud coding agent,Propriétaire,Commerciale,Actif,GitHub,Non,Oui,Multi-modèle,Non,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Oui,Issues vers pull requests,https://sweep.dev/,Secondaire / index,,Élevée,2026-08-29,"Agent exécuté en VM/conteneur distant, souvent asynchrone.",Oui,Délégation et PR
firebender,Firebender,Firebender,Coding agent,Propriétaire,Commerciale,Actif,IDE,Partiel,Oui,Non documenté,Non,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement mobile/IDE,https://cli.github.com/manual/gh_skill_install,Primaire / dépôt,,Moyenne,2026-08-29,Agent de codage commercial sans surface CLI/IDE clairement isolée.,Oui,Proche d'un coding harness; libellé source conservé
ibm-bob,IBM Bob,IBM,Coding agent,Propriétaire,Commerciale,Actif,IDE · CLI,Partiel,Oui,IBM / partenaires,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement entreprise,https://github.github.com/spec-kit/reference/integrations.html,Primaire / dépôt,,Moyenne,2026-08-29,Agent de codage commercial sans surface CLI/IDE clairement isolée.,Oui,Proche d'un coding harness; libellé source conservé
pochi,Pochi,Pochi,Coding agent,Propriétaire,Commerciale,Actif,IDE · CLI,Partiel,Oui,Non documenté,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement interactif,https://cli.github.com/manual/gh_skill_install,Primaire / dépôt,,Moyenne,2026-08-29,Agent de codage commercial sans surface CLI/IDE clairement isolée.,Oui,Proche d'un coding harness; libellé source conservé
zencoder,Zencoder,Zencoder,Coding agent,Propriétaire,Commerciale,Actif,IDE · CLI,Partiel,Oui,Multi-modèle,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement entreprise,https://cli.github.com/manual/gh_skill_install,Primaire / dépôt,,Moyenne,2026-08-29,Agent de codage commercial sans surface CLI/IDE clairement isolée.,Oui,Proche d'un coding harness; libellé source conservé
aider,Aider,Aider AI,Coding harness,Open source,Apache-2.0,Actif,CLI,Oui,Non requis,Multi-modèle / local,Oui,Non,Non,Non,Non natif / intégrations,Inconnu / non documenté,Conventions dépôt,Non natif,Carte du dépôt,Non natif,Non,Pair programming Git-first,https://github.com/aider-ai/aider,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
amazon-q-developer-cli-historique,Amazon Q Developer CLI (historique),AWS,Coding harness,Open source / historique,Apache-2.0,Transition,CLI,Oui,Backend AWS,AWS,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Oui,Inconnu / non documenté,Sessions,Inconnu / non documenté,Non,Codage et DevOps terminal,https://github.com/aws/amazon-q-developer-cli,Primaire / dépôt,À distinguer des produits Amazon Q et Kiro actuels.,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
amp,Amp,Amp / Sourcegraph,Coding harness,Propriétaire,Commerciale,Actif,CLI · IDE,Partiel,Oui,Modèles sélectionnés par Amp,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement et analyse de code,https://ampcode.com/,Secondaire / index,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
augment-agent-auggie,Augment Agent / Auggie,Augment Code,Coding harness,Propriétaire,Commerciale,Actif,IDE · CLI · Remote agents,Partiel,Oui,Modèles sélectionnés par Augment,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement de grands codebases,https://docs.augmentcode.com/using-augment/agent,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
bitfun,BitFun,GCWing,Coding harness,Open source,MIT,Actif,CLI TUI · Desktop,Oui,Optionnel,Multi-modèle,Oui,Via ACP,Non,Non,Oui,Oui,Oui,Inconnu / non documenté,Timeline,Permissions,Non,Codage terminal avec historique,https://github.com/GCWing/BitFun,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
claude-code,Claude Code,Anthropic,Coding harness,Propriétaire,Conditions Anthropic,Actif,CLI · IDE · Desktop · Web · Cloud,Oui,Oui,Claude,Oui,Oui,Oui,Non,Oui,Via adaptateur,Oui,Oui,Oui,Permissions configurables,Oui,Développement agentique quotidien,https://docs.anthropic.com/en/docs/claude-code/overview,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
cline,Cline,Cline,Coding harness,Open source,Apache-2.0,Actif,CLI · VS Code · JetBrains · SDK,Oui,Optionnel,Multi-modèle / BYOK,Oui,Oui,Navigateur,Navigateur,Oui,Oui,Oui,Oui,Checkpoints,Approbations,Oui,Développement avec approbations visibles,https://github.com/cline/cline,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
codebuddy-cli,CodeBuddy CLI,Tencent,Coding harness,Propriétaire,Commerciale,Actif,CLI · IDE,Partiel,Oui,Tencent / multi-modèle,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement terminal,https://github.github.com/spec-kit/reference/integrations.html,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
codebuff,Codebuff,Codebuff,Coding harness,Hybride,Voir fournisseur,Actif,CLI,Oui,Backend cloud,Service + modèles sélectionnés,Oui,Non,Non,Non,Inconnu / non documenté,Inconnu / non documenté,Oui,Oui,Contexte dépôt,Inconnu / non documenté,Non,Codage terminal contextualisé,https://www.codebuff.com/,Secondaire / index,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
codel,Codel,semanser,Coding harness,Open source,AGPL-3.0,Expérimental,Docker · Web · CLI,Oui,Auto-hébergeable,Multi-modèle,Oui,Non,Oui,Non,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Docker,Non,Tâches autonomes en conteneur,https://github.com/semanser/codel,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
codemachine-cli,CodeMachine CLI,CodeMachine,Coding harness,Open source,Apache-2.0,Expérimental,CLI,Oui,Inconnu / non documenté,Multi-modèle,Oui,Non,Non,Non,Inconnu / non documenté,Inconnu / non documenté,Inconnu / non documenté,Oui,Inconnu / non documenté,Inconnu / non documenté,Oui,Workflows multi-agent,https://github.com/moazbuilds/CodeMachine-CLI,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
codewhale,CodeWhale,Hmbown,Coding harness,Open source,MIT,Actif,CLI TUI · Headless,Oui,Optionnel,Multi-modèle / local,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Checkpoints,Permissions,Oui,Codage et flottes d'agents,https://github.com/Hmbown/CodeWhale,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
codex-cli,Codex CLI,OpenAI,Coding harness,Open source,Apache-2.0,Actif,CLI · IDE · Headless,Oui,Optionnel,OpenAI natif,Oui,Oui,Non,Non,Oui,Oui / adaptateurs,Oui,Oui,Sessions + AGENTS.md,Oui,Oui,Développement local et automatisation,https://github.com/openai/codex,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
command-code,Command Code,Command Code,Coding harness,Propriétaire,Commerciale,Actif,CLI,Partiel,Oui,Non documenté,Oui,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement terminal,https://github.github.com/spec-kit/reference/integrations.html,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
continue,Continue,Continue Dev,Coding harness,Open source,Apache-2.0,Archivé / lecture seule,CLI · VS Code · JetBrains,Oui,Optionnel,Multi-modèle,Oui,Oui,Non,Non,Oui,Inconnu / non documenté,Oui,Inconnu / non documenté,Configs,Inconnu / non documenté,Non,Ancien agent IDE/CLI,https://github.com/continuedev/continue,Primaire / dépôt,Dépôt principal annoncé en lecture seule avec release finale 2.0.0.,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
cortex-code-cli,Cortex Code CLI,Snowflake,Coding harness,Propriétaire,Commerciale,Actif,CLI,Partiel,Oui,Snowflake Cortex,Oui,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement data/Snowflake,https://www.snowflake.com/,Secondaire / index,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
crush,Crush,Charmbracelet,Coding harness,Source disponible,À vérifier selon version,Actif,CLI TUI,Oui,Optionnel,Multi-modèle,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Oui,Inconnu / non documenté,Sessions,Permissions,Non,Agent de codage terminal,https://github.com/charmbracelet/crush,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
deep-agents-code,Deep Agents Code,LangChain,Coding harness,Open source,Voir dépôt,Actif,CLI · Headless,Oui,Optionnel,Multi-modèle,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Oui,Oui,LangGraph,Approbations,Oui,Coding agent avec sous-agents,https://github.com/langchain-ai/deepagents,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
devin-cli-local,Devin CLI / Local,Cognition,Coding harness,Propriétaire,Commerciale,Actif,CLI · Devin Desktop,Partiel,Oui,Multi-modèle via Devin,Oui,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement local et handoff cloud,https://docs.devin.ai/desktop/devin-local,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
factory-droid,Factory Droid,Factory,Coding harness,Propriétaire,Commerciale,Actif,CLI · Desktop · Web · Mobile,Partiel,Oui,Multi-modèle via Factory,Oui,Non,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement end-to-end,https://docs.factory.ai/,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
fetchcoder,FetchCoder,Fetch.ai,Coding harness,Propriétaire,Commerciale,Actif,CLI · API,Partiel,Oui,ASI / Fetch.ai,Oui,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement terminal,https://github.com/bradAGI/awesome-cli-coding-agents,Secondaire / index,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
gemini-cli,Gemini CLI,Google,Coding harness,Open source,Apache-2.0,Transition,CLI · IDE · GitHub Actions,Oui,Backend cloud,Gemini natif,Oui,Oui,Recherche Google,Non,Oui,Oui,Oui,Oui,GEMINI.md + sessions,Permissions,Non,Codage et tâches terminal,https://github.com/google-gemini/gemini-cli,Primaire / dépôt,Transition annoncée vers Antigravity CLI; vérifier la trajectoire de support.,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
github-copilot-cli,GitHub Copilot CLI,GitHub / Microsoft,Coding harness,Propriétaire,Commerciale,Actif,CLI,Oui,Backend cloud,Multi-modèle via Copilot,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Oui,Inconnu / non documenté,Inconnu / non documenté,Permissions,Non,Développement et commandes terminal,https://docs.github.com/copilot,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
grok-build,Grok Build,xAI,Coding harness,Open source,Apache-2.0,Actif,CLI TUI · Headless · IDE via ACP,Oui,Optionnel,Grok natif + backend configurable,Oui,Oui,Recherche web,Non,Oui,Oui,Oui,Oui,Sessions,Permissions,Oui,Développement agentique local,https://github.com/xai-org/grok-build,Primaire / dépôt,,Élevée,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
iflow-cli,iFlow CLI,iFlow,Coding harness,Propriétaire,Commerciale,Actif,CLI,Partiel,Oui,Non documenté,Oui,Non,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement terminal,https://cli.github.com/manual/gh_skill_install,Primaire / dépôt,,Moyenne,2026-08-29,Boucle modèle-outils-contexte-permissions destinée au code.,Oui,Catégorie principale de l'inventaire
